,ID,Brand,Category,Gender,Name,Image URL,Price
1075,61.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_402_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1076,62.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in yarn-dyed single jersey,https://images.hugoboss.com/is/image/boss/hbeu50385281_428_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1077,63.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in Pima cotton with photographic print,https://images.hugoboss.com/is/image/boss/hbeu50453656_101_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1078,64.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with bubble-jacquard structure,https://images.hugoboss.com/is/image/boss/hbeu50452680_402_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1079,65.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with bubble-jacquard structure,https://images.hugoboss.com/is/image/boss/hbeu50452680_118_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1080,66.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_689_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1081,67.0,BOSS,T-Shirts,Mens,Cotton jersey T-shirt with curved logo,https://images.hugoboss.com/is/image/boss/hbeu50412363_103_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1082,68.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with striped logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452846_646_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1083,69.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with bubble-jacquard structure,https://images.hugoboss.com/is/image/boss/hbeu50452680_301_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1084,70.0,BOSS,T-Shirts,Mens,Striped T-shirt in organic cotton and hemp,https://images.hugoboss.com/is/image/boss/hbeu50447836_272_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1085,71.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in jacquard-knitted cotton and silk,https://images.hugoboss.com/is/image/boss/hbeu50453142_041_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 2,300.00Price"
1086,72.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton with layered logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452841_410_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1087,73.0,BOSS,T-Shirts,Mens,Logo T-shirt in Pima cotton with degradé print,https://images.hugoboss.com/is/image/boss/hbeu50453673_101_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
